myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,first_character,second_character,Cue,left_categ,centleft_categ,centright_categ,right_categ,corr_ans,trial_cond,switch_cond,cuedCharacter,corrCat,image,pract_resp.rt,rep_resp.keys,rep_resp.rt,repeat_pract.thisRepN,repeat_pract.thisTrialN,repeat_pract.thisN,repeat_pract.thisIndex,repeat_pract.ran,task_resp.keys,task_resp.corr,task_resp.rt,task_loop.thisRepN,task_loop.thisTrialN,task_loop.thisN,task_loop.thisIndex,task_loop.ran,obj_category,rep_resp_2.keys,rep_resp_2.rt,repeat_task2.thisRepN,repeat_task2.thisTrialN,repeat_task2.thisN,repeat_task2.thisIndex,repeat_task2.ran
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,4,1,1,stimuli/m2.jpg,,stimuli/objects/racquetballracket.jpg,,,,,,,,,3,0,3.3194,0,25,25,25,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,4,1,1,stimuli/m5.jpg,,stimuli/objects/jumpingjack.jpg,,,,,,,,,3,0,0.8161,0,26,26,26,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/hedgetrimmer.jpg,,,,,,,,,3,0,0.5994,0,27,27,27,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,4,1,1,stimuli/m5.jpg,,stimuli/objects/gavel.jpg,,,,,,,,,2,0,1.9773,0,28,28,28,1,Hand labour tool & accessory,,,,,,,
1,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,2,1,1,stimuli/m5.jpg,,stimuli/objects/gavel.jpg,,,,,,,,,2,1,1.486,0,29,29,29,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,3,1,1,stimuli/m2.jpg,,stimuli/objects/racquetballracket.jpg,,,,,,,,,1,0,0.9679,0,30,30,30,1,Outdoor activity & sport item,,,,,,,
1,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,3,1,1,stimuli/m2.jpg,,stimuli/objects/punchingbag.jpg,,,,,,,,,3,1,1.7351,0,31,31,31,1,Outdoor activity & sport item,,,,,,,
1,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,4,0,1,stimuli/m5.jpg,,stimuli/objects/camera01a.jpg,,,,,,,,,4,1,1.6608,0,32,32,32,1,Electronic device & accessory,,,,,,,
1,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,4,1,1,stimuli/m5.jpg,,stimuli/objects/jumpingjack.jpg,,,,,,,,,4,1,0.3936,0,33,33,33,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,3,1,1,stimuli/m2.jpg,,stimuli/objects/swing.jpg,,,,,,,,,2,0,3.0971,0,34,34,34,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/pitchfork.jpg,,,,,,,,,4,0,0.7943,0,35,35,35,1,Hand labour tool & accessory,,,,,,,
1,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/racquetballracket.jpg,,,,,,,,,2,1,2.1446,0,36,36,36,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m2.jpg,,stimuli/objects/telescope.jpg,,,,,,,,,4,0,2.7932,0,37,37,37,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,4,1,1,stimuli/m2.jpg,,stimuli/objects/footballhelmet.jpg,,,,,,,,,2,0,2.592,0,38,38,38,1,Outdoor activity & sport item,,,,,,,
1,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,3,1,1,stimuli/m2.jpg,,stimuli/objects/swing.jpg,,,,,,,,,3,1,1.4895,0,39,39,39,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,2,1,1,stimuli/m5.jpg,,stimuli/objects/pitchfork.jpg,,,,,,,,,3,0,2.1524,0,40,40,40,1,Hand labour tool & accessory,,,,,,,
1,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/footballhelmet.jpg,,,,,,,,,2,1,0.8326,0,41,41,41,1,Outdoor activity & sport item,,,,,,,
1,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/rollerblade.jpg,,,,,,,,,2,1,0.5867,0,42,42,42,1,Outdoor activity & sport item,,,,,,,
1,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,1,1,1,stimuli/m2.jpg,,stimuli/objects/crosscountryski.jpg,,,,,,,,,1,1,2.0741,0,43,43,43,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,3,1,1,stimuli/m5.jpg,,stimuli/objects/solderingiron.jpg,,,,,,,,,4,0,1.4643,0,44,44,44,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/boxcutter03a.jpg,,,,,,,,,4,0,2.2677,0,45,45,45,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,3,1,1,stimuli/m5.jpg,,stimuli/objects/gavel.jpg,,,,,,,,,2,0,3.0845,0,46,46,46,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,4,0,1,stimuli/m2.jpg,,stimuli/objects/jack.jpg,,,,,,,,,3,0,1.0684,0,47,47,47,1,Electronic device & accessory,,,,,,,
,,,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,41.6348,1,0,1,0,1
0,[],,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,2,1,1,stimuli/m5.jpg,,stimuli/objects/jumpingjack.jpg,,,,,,,,,3,0,1.479,0,0,0,0,1,Hand labour tool & accessory,,,,,,,
0,[0],,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/boxcutter03a.jpg,,,,,,,,,3,0,0.5616,0,1,1,1,1,Hand labour tool & accessory,,,,,,,
0,"[0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/huntingknife.jpg,,,,,,,,,4,0,1.3098,0,2,2,2,1,Kitchen & utensil,,,,,,,
0,"[0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,4,1,1,stimuli/m2.jpg,,stimuli/objects/footballhelmet.jpg,,,,,,,,,1,0,0.9997,0,3,3,3,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,2,1,1,stimuli/m5.jpg,,stimuli/objects/handrake01a.jpg,,,,,,,,,4,0,2.4773,0,4,4,4,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m2.jpg,,stimuli/objects/crosscountryski.jpg,,,,,,,,,3,0,2.6615,0,5,5,5,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/television.jpg,,,,,,,,,3,0,0.9657,0,6,6,6,1,Electronic device & accessory,,,,,,,
0,"[0,0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/hose.jpg,,,,,,,,,4,0,0.8294,0,7,7,7,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/solderingiron.jpg,,,,,,,,,4,0,2.5438,0,8,8,8,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,3,1,1,stimuli/m5.jpg,,stimuli/objects/gavel.jpg,,,,,,,,,1,0,1.649,0,9,9,9,1,Hand labour tool & accessory,,,,,,,
1,"[0,0,0,0,0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,4,1,1,stimuli/m5.jpg,,stimuli/objects/boxcutter03a.jpg,,,,,,,,,4,1,1.4797,0,10,10,10,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,0,0,0,0,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,1,0,1,stimuli/m5.jpg,,stimuli/objects/walkietalkie.jpg,,,,,,,,,2,0,2.3728,0,11,11,11,1,Electronic device & accessory,,,,,,,
0,"[0,0,0,0,0,0,0,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,1,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,1,0,1,stimuli/m2.jpg,,stimuli/objects/coffeemaker.jpg,,,,,,,,,4,0,1.951,0,12,12,12,1,Kitchen & utensil,,,,,,,
0,"[0,0,0,0,0,0,0,0,1]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,1,1,1,stimuli/m2.jpg,,stimuli/objects/bicycle.jpg,,,,,,,,,3,0,2.5004,0,13,13,13,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,0,0,0,0,0,1,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Hand labour tool & accessory.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/punchingbag.jpg,,,,,,,,,1,0,3.2681,0,14,14,14,1,Outdoor activity & sport item,,,,,,,
1,"[0,0,0,0,0,0,0,0,1,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Hand labour tool & accessory.png,stimuli/Kitchen & utensil.png,2,0,1,stimuli/m5.jpg,,stimuli/objects/footballhelmet.jpg,,,,,,,,,2,1,1.6117,0,15,15,15,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,0,0,0,0,0,1,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,4,0,1,stimuli/m5.jpg,,stimuli/objects/swing.jpg,,,,,,,,,2,0,0.4669,0,16,16,16,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,0,0,0,0,0,1,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,1,1,1,stimuli/m5.jpg,,stimuli/objects/pitchfork.jpg,,,,,,,,,3,0,1.8846,0,17,17,17,1,Hand labour tool & accessory,,,,,,,
0,"[0,0,0,0,0,0,0,0,1,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,2,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Electronic device & accessory.png,stimuli/Kitchen & utensil.png,2,1,1,stimuli/m2.jpg,,stimuli/objects/bicycle.jpg,,,,,,,,,3,0,1.8669,0,18,18,18,1,Outdoor activity & sport item,,,,,,,
0,"[0,0,0,0,0,0,0,0,1,0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m5.jpg,stimuli/m2.jpg,1,stimuli/Hand labour tool & accessory.png,stimuli/Outdoor activity & sport item.png,stimuli/Kitchen & utensil.png,stimuli/Electronic device & accessory.png,3,0,1,stimuli/m5.jpg,,stimuli/objects/freezer02.jpg,,,,,,,,,1,0,2.0182,0,19,19,19,1,Kitchen & utensil,,,,,,,
0,"[0,0,0,0,0,0,0,0,1,0,0,0,0]",,,,,,,,,,,,,21,2021-11-10_12h33.03.364,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,0,,,,,,stimuli/m2.jpg,stimuli/m5.jpg,1,stimuli/Kitchen & utensil.png,stimuli/Hand labour tool & accessory.png,stimuli/Electronic device & accessory.png,stimuli/Outdoor activity & sport item.png,2,0,1,stimuli/m2.jpg,,stimuli/objects/handrake01a.jpg,,,,,,,,,3,0,1.6829,0,20,20,20,1,Hand labour tool & accessory,,,,,,,
