myownaccuracy,respcorrs,minNrPractice,considerNrTrials,Instr_resp.keys,Instr_resp.rt,key_resp_2.keys,key_resp_2.rt,Instruction_loop.thisRepN,Instruction_loop.thisTrialN,Instruction_loop.thisN,Instruction_loop.thisIndex,Instruction_loop.ran,slides,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,taskGoresp.keys,taskGoresp.rt,pract_resp.keys,pract_resp.corr,pract_resp.rt,myownaccuracyCORR,pract_loop.thisRepN,pract_loop.thisTrialN,pract_loop.thisN,pract_loop.thisIndex,pract_loop.ran,first_character,second_character,Cue,left_categ,centleft_categ,centright_categ,right_categ,corr_ans,trial_cond,switch_cond,cuedCharacter,corrCat,image
[],[],10,10,space,9.318235,space,8.02602,0,0,0,0,1,stimuli/slide1.png,3,2021-04-10_15h05.27.256,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,29.53453,0,1,1,1,1,stimuli/slide2.png,3,2021-04-10_15h05.27.256,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,11.06746,0,2,2,2,1,stimuli/slide3.png,3,2021-04-10_15h05.27.256,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,19.680055,0,3,3,3,1,stimuli/slide4.png,3,2021-04-10_15h05.27.256,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,4.119985,0,4,4,4,1,stimuli/slide5.png,3,2021-04-10_15h05.27.256,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,space,2.353805,0,5,5,5,1,stimuli/slide6.png,3,2021-04-10_15h05.27.256,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,
0,[],,,,,,,,,,,,,3,2021-04-10_15h05.27.256,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,space,8.170035,space,14.738915,3,0,1.672415,0,0,0,0,0,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/sneaker03b.jpg
0,[0],,,,,,,,,,,,,3,2021-04-10_15h05.27.256,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,3,0,2.085065,0,0,1,1,1,1,stimuli/m1.jpg,stimuli/m4.jpg,2,stimuli/Stationary & school supply.png,stimuli/Clothing.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,1,0,0,stimuli/m4.jpg,Stationary & school supply,stimuli/objects/paperclip01b.jpg
0,[0],,,,,,,,,,,,,3,2021-04-10_15h05.27.256,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,,0,,0,0,2,2,2,1,stimuli/m1.jpg,stimuli/m4.jpg,1,stimuli/Vehicle.png,stimuli/Stationary & school supply.png,stimuli/Clothing.png,stimuli/Gamestoy & entertainment.png,2,1,0,stimuli/m1.jpg,Stationary & school supply,stimuli/objects/protractor.jpg
0,"[0,0]",,,,,,,,,,,,,3,2021-04-10_15h05.27.256,premceCat2_ses-01_part-01_label-phase1,2020.2.9,Win32,60,,,,,1,0,1.58203,0,0,3,3,3,1,stimuli/m4.jpg,stimuli/m1.jpg,1,stimuli/Stationary & school supply.png,stimuli/Vehicle.png,stimuli/Gamestoy & entertainment.png,stimuli/Clothing.png,4,1,0,stimuli/m4.jpg,Clothing,stimuli/objects/hikingshoe01.jpg
